m,SN_7191,Watford High Street
m,SN_7192,Watford Junction
m,SN_7193,Wembley Central
m,SN_7194,West Brompton
m,SN_7195,West Croydon
m,SN_7196,West Hampstead
m,SN_7197,West Norwood
m,SN_7198,West Sutton
m,SN_7199,Whyteleafe
m,SN_7200,Whyteleafe South
m,SN_7201,Willesden Junction
m,SN_7202,Wimbledon
m,SN_7203,Wimbledon Chase
m,SN_7204,Wivelsfield
m,SN_7205,Woldingham
m,SN_7206,Wolverhampton
m,SN_7207,Wolverton
m,SN_7208,Woodgrange Park
m,SN_7209,Woodmansterne
m,SN_7210,Dalston Junction
m,SN_7211,Haggerston
m,SN_7212,Hoxton
m,SN_7213,Shoreditch High Street
m,SN_7214,Whitechapel
m,SN_7215,Shadwell
m,SN_7216,Wapping
m,SN_7217,Rotherhithe
m,SN_7218,Canada Water
m,SN_7219,Surrey Quays
m,SN_7220,New Cross  
m,SN_7221,Surrey Canal Road
m,SN_7222,Denmark Hill
m,SN_7223,Clapham High Street
m,SN_7224,Wandsworth Road
e,SN_7225,Acton Central
e,SN_7226,Anerley
e,SN_7227,Apsley
e,SN_7228,Ashtead
e,SN_7229,Ashurst
e,SN_7230,Balcombe
e,SN_7231,Balham
e,SN_7232,Banbury
e,SN_7233,Banstead
e,SN_7234,Barking
e,SN_7235,Battersea Park
e,SN_7236,Beckenham Junction
e,SN_7237,Belmont
e,SN_7238,Berkhamsted
e,SN_7239,Birkbeck
e,SN_7240,Birmingham New Street
e,SN_7241,Blackhorse Road
e,SN_7242,Bletchley
e,SN_7243,Bookham
e,SN_7244,Boxhill & Westhumble
e,SN_7245,Brighton
e,SN_7246,Brockley
e,SN_7247,Brondesbury
e,SN_7248,Brondesbury Park
e,SN_7249,Burgess Hill
e,SN_7250,Bushey
e,SN_7251,Buxted
e,SN_7252,Caledonian Road and Barnsbury
e,SN_7253,Camden Road
e,SN_7254,Canonbury
e,SN_7255,Carpenders Park
e,SN_7256,Carshalton Beeches
e,SN_7257,Caterham
e,SN_7258,Charing Cross
e,SN_7259,Cheam
e,SN_7260,Cheddington
e,SN_7261,Chipstead
e,SN_7262,Clandon
e,SN_7263,Clapham Junction
e,SN_7264,Congleton
e,SN_7265,Coulsdon South
e,SN_7266,Cowden
e,SN_7267,Crawley
e,SN_7268,Crouch Hill
e,SN_7269,Crowborough
e,SN_7270,Crystal Palace
e,SN_7271,Dalston Kingsland
e,SN_7272,Dorking
e,SN_7273,Dormans
e,SN_7274,Earlswood
e,SN_7275,East Croydon
e,SN_7276,East Dulwich
e,SN_7277,East Grinstead
e,SN_7278,Edenbridge
e,SN_7279,Edenbridge Town
e,SN_7280,Effingham Junction
e,SN_7281,Elephant and Castle
e,SN_7282,Epsom
e,SN_7283,Epsom Downs
e,SN_7284,Eridge
e,SN_7285,Euston
e,SN_7286,Ewell East
e,SN_7287,Faygate
e,SN_7288,Finchley Road and Frognal
